Sample,Interaction,NoInteraction
B1,0,4
B1,0,4
B1,0,1
B1,0,12
B1,1,6
B1,1,20
B1,1,3
B1,0,4
B1,1,4
B1,2,16
B1,0,4
B1,0,2
B1,0,7
B1,1,5
B1,0,8
B1,0,3
B1,3,1
B1,0,9
B1,0,4
B1,0,6
B1,0,4
B1,0,12
B1,1,7
B1,0,7
B1,0,13
B1,1,4
B1,0,9
B1,0,4
B1,3,15
B1,2,25
B2,0,4
B2,2,13
B2,0,8
B2,1,6
B2,1,12
B2,0,11
B2,0,0
B2,0,0
B2,0,9
B2,0,15
B2,0,5
B2,0,15
B2,0,6
B2,0,4
B2,0,12
B2,0,4
B2,0,9
B2,0,13
B2,1,9
B2,0,10
B2,0,9
B2,0,16
B2,0,11
B2,0,5
B2,0,2
B2,2,2
B2,0,3
B2,0,10
B2,1,12
B2,2,12
B3,1,6
B3,1,8
B3,0,9
B3,1,5
B3,1,7
B3,0,4
B3,0,9
B3,3,10
B3,0,7
B3,1,4
B3,0,8
B3,2,9
B3,1,9
B3,0,7
B3,0,8
B3,0,8
B3,0,9
B3,3,19
B3,2,13
B3,1,38
B3,0,8
B3,1,7
B3,2,2
A1,0,12
A1,0,4
A1,0,10
A1,1,9
A1,1,14
A1,1,13
A1,0,14
A1,0,6
A1,0,2
A1,0,10
A1,0,9
A1,2,4
A1,1,20
A1,2,16
A1,0,3
A1,0,8
A1,3,15
A1,0,14
A1,0,4
A1,0,3
A1,1,10
A1,0,9
A1,1,14
A1,0,2
A1,1,6
A1,0,8
A2,0,6
A2,1,11
A2,0,0
A2,0,0
A2,1,16
A2,0,4
A2,0,11
A2,0,8
A2,1,3
A2,1,10
A2,0,2
A2,1,6
A2,0,2
A2,0,9
A2,2,10
A2,0,3
A2,1,16
A2,0,5
A2,0,4
A2,0,4
A2,0,3
A2,0,12
A2,0,6
A2,0,5
A2,0,7
A2,0,14
A2,4,22
A2,0,3
A2,2,23
A2,3,13
A3,1,11
A3,0,7
A3,0,12
A3,0,8
A3,0,13
A3,0,5
A3,1,9
A3,0,22
A3,1,8
A3,3,26
A3,0,7
A3,0,4
A3,1,6
A3,0,10
A3,1,16
A3,0,5
A3,0,0
A3,3,21
A3,0,18
A3,0,1
A3,0,4
A3,2,21
A3,1,20
A3,0,6
A3,0,10
A3,1,15
A3,0,9
A3,0,4
A3,3,15
A3,0,4
C1,0,0
C1,0,5
C1,0,10
C1,4,11
C1,0,3
C1,0,6
C1,3,9
C1,0,1
C1,0,4
C1,2,4
C1,1,1
C1,0,6
C1,1,15
C1,0,6
C1,0,6
C1,0,6
C1,0,13
C1,0,8
C1,1,8
C1,0,0
C1,1,2
C1,0,8
C1,0,0
C1,0,6
C1,2,12
C1,3,12
C1,1,22
C1,0,2
C1,3,18
C1,0,2
C2,1,6
C2,0,16
C2,2,3
C2,4,10
C2,0,0
C2,1,6
C2,0,0
C2,0,0
C2,3,11
C2,1,2
C2,0,14
C2,1,4
C2,1,9
C2,0,4
C2,0,7
C2,0,2
C2,0,11
C2,0,5
C2,1,9
C2,0,2
C2,0,4
C2,1,11
C2,0,4
C2,1,12
C2,0,8
C2,2,17
C2,0,0
C2,2,18
C2,0,4
C2,0,0
C3,2,22
C3,0,7
C3,1,9
C3,1,1
C3,0,12
C3,0,4
C3,2,16
C3,0,8
C3,0,9
C3,4,17
C3,0,12
C3,0,4
C3,0,5
C3,0,5
C3,0,13
C3,0,4
C3,0,14
C3,0,10
C3,0,6
C3,0,5
C3,0,3
C3,0,4
C3,0,15
C3,0,9
C3,0,5
C3,0,13
C3,0,5
C3,0,25
C3,0,9
C3,0,10
C3,0,15
